date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:17	3095/3095	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Dec%202022%2000:01:17%20GMT	https://enabiz.gov.tr/Account/TahlilSonucuDogrula?barcode=B6X7-4123-90	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/Account/TahlilSonucuDogrulafee7.html	(from )
16:01:17	159/159	---M--	200	added ('OK')	text/plain	etag:%221d7f28a5ff4b49f%22	https://enabiz.gov.tr/robots.txt		(from )
16:01:18	138655/138655	---M--	200	added ('OK')	text/css	etag:%221d9113dd21c199f%22	https://enabiz.gov.tr/css/eNabizMain.css	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/css/eNabizMain.css	(from https://enabiz.gov.tr/Account/TahlilSonucuDogrula?barcode=B6X7-4123-90)
16:01:19	26715/26715	---M--	200	added ('OK')	text/css	etag:%221d8140f2d08715b%22	https://enabiz.gov.tr/plugins/font-awesome/css/font-awesome.min.css	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/plugins/font-awesome/css/font-awesome.min.css	(from https://enabiz.gov.tr/Account/TahlilSonucuDogrula?barcode=B6X7-4123-90)
16:01:19	16221/16221	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37e45d%22	https://enabiz.gov.tr/images/enabiz-logo-giris.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/enabiz-logo-giris.png	(from https://enabiz.gov.tr/Account/TahlilSonucuDogrula?barcode=B6X7-4123-90)
16:01:20	8570/8570	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37fa7a%22	https://enabiz.gov.tr/images/sb-logo-giris.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/sb-logo-giris.png	(from https://enabiz.gov.tr/Account/TahlilSonucuDogrula?barcode=B6X7-4123-90)
16:01:22	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Dec%202022%2000:01:22%20GMT	https://enabiz.gov.tr/images/header-bg-cocuk.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/header-bg-cocuk.5.delayed	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:22	8928/8928	---M--	200	added ('OK')	image/jpeg	etag:%221d8140f2d083be0%22	https://enabiz.gov.tr/images/en-yakin-eczane.jpg	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/en-yakin-eczane.jpg	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:25	18383/18383	---M--	200	added ('OK')	image/jpeg	etag:%221d7007b2a379ccf%22	https://enabiz.gov.tr/images/en-yakin-eczane2.jpg	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/en-yakin-eczane2.jpg	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:26	201/201	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37dbc9%22	https://enabiz.gov.tr/plugins/datatable/images/sort_both.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/plugins/datatable/images/sort_both.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:26	160/160	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37dba0%22	https://enabiz.gov.tr/plugins/datatable/images/sort_asc.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/plugins/datatable/images/sort_asc.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:28	158/158	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37db9e%22	https://enabiz.gov.tr/plugins/datatable/images/sort_desc.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/plugins/datatable/images/sort_desc.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:29	148/148	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37db94%22	https://enabiz.gov.tr/plugins/datatable/images/sort_asc_disabled.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/plugins/datatable/images/sort_asc_disabled.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:29	146/146	---M--	200	added ('OK')	image/png	etag:%221d7007b2a37db92%22	https://enabiz.gov.tr/plugins/datatable/images/sort_desc_disabled.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/plugins/datatable/images/sort_desc_disabled.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:30	350322/350322	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8d9572%22	https://enabiz.gov.tr/images/AsiKartiBgTamTekTipAsi_2608.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgTamTekTipAsi_2608.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:32	401473/401473	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8eed41%22	https://enabiz.gov.tr/images/AsiKartiBgTamFarkliAsi_2608.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgTamFarkliAsi_2608.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:33	400350/400350	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8ed6de%22	https://enabiz.gov.tr/images/AsikartiBgCovid_2608.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsikartiBgCovid_2608.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:34	370269/370269	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8d6b5d%22	https://enabiz.gov.tr/images/AsiKartiBgDoz1_2608.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgDoz1_2608.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:35	309916/309916	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8c779c%22	https://enabiz.gov.tr/images/AsiKartiJohnson1Doz_1409.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiJohnson1Doz_1409.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:36	232370/232370	---M--	200	added ('OK')	image/png	etag:%221d7879c10f4a3b2%22	https://enabiz.gov.tr/images/2-doz-asi_0708.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/2-doz-asi_0708.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:38	282387/282387	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8c8213%22	https://enabiz.gov.tr/images/AsiKartiBgDoz3_1003.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgDoz3_1003.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:40	278936/278936	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8c8c98%22	https://enabiz.gov.tr/images/AsiKartiBgDoz3_1003_HpQR.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgDoz3_1003_HpQR.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:41	331448/331448	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8dc3b8%22	https://enabiz.gov.tr/images/AsiKartiBgDoz4_3108.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgDoz4_3108.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
16:01:48	381680/381680	---M--	200	added ('OK')	image/png	etag:%221d8b794ba8d1ff0%22	https://enabiz.gov.tr/images/AsiKartiBgDoz5_3112.png	C:/xampp/htdocs/hes%20code/hes%20code/enabiz.gov.tr/images/AsiKartiBgDoz5_3112.png	(from https://enabiz.gov.tr/css/eNabizMain.css)
